Time[ms]; Pressure [Pa]; Approx altitude [m]; Temperature [degC]; accX [m/s2]; accY [m/s2]; accZ [m/s2]; rotX [rad/s]; rotY [rad/s]; rotZ [rad/s]; magX [uT]; magY [uT]; magZ [uT]; roll [deg]; pitch [deg]; heading [deg]; tempMPU [degC]; Satellites []; Date [yyyy-mm-dd]; Time [hh:mm:ss]; Latitude [deg]; Longitude [deg]; Relative X [m]; Relative Y [m]; Altitude [m]; delta pressure [Pa]; speed [m/s]; tempPitot [degC]; Angle [deg]; Ch0   ; Ch1   ; Ch2   ; Ch3   ; Ch4   ; Ch5   ; Ch6   ; Ch7   ; Ch8   ; Ch9   ; 
  795234;        101878; -45.96             ;               33.3; 0.397      ; -0.503     ; -10.276    ; 0.021       ; -0.001      ; -0.009      ; 14.760   ; 13.089   ; 15.626   ; -0.7      ; 2.8        ;         232.5;           35.2;            12; 2025-05-13       ; 15:42:16       ;      51.935627;        4.194643; -11955.328125 ; -6888.981934  ;          5.0; 48.92              ;        9.01;             29.3;       17.49; 102.00; 206.00; 104.00; 205.00; 102.00; 115.00; 206.00; 103.00; 205.00; 207.00; 
  795349;        101880; -46.16             ;               33.3; 0.321      ; -0.565     ; -10.324    ; 0.020       ; -0.002      ; -0.009      ; 14.760   ; 13.089   ; 15.626   ; -0.6      ; 2.8        ;         232.2;           35.1;            12; 2025-05-13       ; 15:42:16       ;      51.935627;        4.194643; -11955.328125 ; -6888.981934  ;          5.0; 47.87              ;        8.92;             29.3;       17.49; 102.00; 206.00; 104.00; 205.00; 102.00; 115.00; 206.00; 103.00; 205.00; 207.00; 
  795549;        101878; -46.01             ;               33.3; 0.340      ; -0.517     ; -10.348    ; 0.020       ; 0.000       ; -0.011      ; 14.760   ; 13.089   ; 15.626   ; -0.6      ; 2.7        ;         231.9;           35.1;            12; 2025-05-13       ; 15:42:16       ;      51.935627;        4.194643; -11955.328125 ; -6888.981934  ;          5.0; 47.87              ;        8.92;             29.3;       17.49; 617.00; 102.00; 205.00; 826.00; 720.00; 115.00; 206.00; 103.00; 205.00; 207.00; 
  795749;        101882; -46.33             ;               33.4; 0.340      ; -0.498     ; -10.391    ; 0.021       ; -0.003      ; -0.007      ; 14.057   ; 13.089   ; 15.287   ; -0.5      ; 2.6        ;         231.7;           35.1;            12; 2025-05-13       ; 15:42:16       ;      51.935627;        4.194643; -11955.328125 ; -6888.981934  ;          5.0; 47.87              ;        8.92;             29.3;       17.49; 617.00; 102.00; 205.00; 826.00; 720.00; 115.00; 206.00; 103.00; 205.00; 207.00; 
  795949;        101884; -46.47             ;               33.4; 0.297      ; -0.522     ; -10.357    ; 0.025       ; -0.001      ; -0.007      ; 14.057   ; 13.089   ; 15.287   ; -0.5      ; 2.5        ;         231.5;           35.1;            12; 2025-05-13       ; 15:42:16       ;      51.935627;        4.194643; -11955.328125 ; -6888.981934  ;          5.0; 47.87              ;        8.92;             29.3;       17.49; 617.00; 102.00; 205.00; 826.00; 720.00; 115.00; 206.00; 103.00; 205.00; 207.00; 
  796149;        101882; -46.30             ;               33.3; 0.374      ; -0.546     ; -10.262    ; 0.025       ; -0.001      ; -0.007      ; 14.057   ; 13.089   ; 15.287   ; -0.4      ; 2.4        ;         231.3;           35.1;            12; 2025-05-13       ; 15:42:17       ;      51.935627;        4.194643; -11955.270508 ; -6888.963379  ;          5.1; 47.87              ;        8.92;             29.3;       17.49; 617.00; 102.00; 205.00; 826.00; 720.00; 115.00; 206.00; 103.00; 205.00; 207.00; 
  796349;        101880; -46.12             ;               33.3; 0.316      ; -0.479     ; -10.415    ; 0.019       ; -0.001      ; -0.012      ; 14.057   ; 13.089   ; 15.287   ; -0.4      ; 2.3        ;         231.1;           35.1;            12; 2025-05-13       ; 15:42:17       ;      51.935627;        4.194643; -11955.270508 ; -6888.963379  ;          5.1; 48.92              ;        9.01;             29.3;       17.49; 617.00; 102.00; 205.00; 826.00; 720.00; 115.00; 206.00; 103.00; 205.00; 207.00; 
  796549;        101884; -46.52             ;               33.4; 0.364      ; -0.560     ; -10.381    ; 0.020       ; -0.001      ; -0.011      ; 14.057   ; 13.089   ; 15.287   ; -0.3      ; 2.2        ;         231.0;           35.2;            12; 2025-05-13       ; 15:42:17       ;      51.935627;        4.194643; -11955.270508 ; -6888.963379  ;          5.1; 47.87              ;        8.92;             29.3;       17.49; 617.00; 102.00; 205.00; 826.00; 720.00; 115.00; 206.00; 103.00; 205.00; 207.00; 
  796749;        101884; -46.44             ;               33.3; 0.369      ; -0.555     ; -10.329    ; 0.021       ; -0.003      ; -0.006      ; 14.057   ; 13.089   ; 15.287   ; -0.3      ; 2.1        ;         230.8;           35.2;            12; 2025-05-13       ; 15:42:17       ;      51.935627;        4.194643; -11955.270508 ; -6888.963379  ;          5.1; 46.82              ;        8.82;             29.3;       17.49; 411.00; 308.00; 411.00; 102.00; 102.00; 205.00; 102.00; 205.00; 102.00; 411.00; 
  796949;        101880; -46.13             ;               33.3; 0.345      ; -0.469     ; -10.176    ; 0.025       ; -0.001      ; -0.009      ; 14.057   ; 13.089   ; 15.287   ; -0.2      ; 2.1        ;         230.6;           35.1;            12; 2025-05-13       ; 15:42:17       ;      51.935627;        4.194643; -11955.270508 ; -6888.963379  ;          5.1; 46.82              ;        8.82;             29.3;       17.49; 411.00; 308.00; 411.00; 102.00; 102.00; 205.00; 102.00; 205.00; 102.00; 411.00; 
