Time[ms]; Pressure [Pa]; Approx altitude [m]; Temperature [degC]; accX [m/s2]; accY [m/s2]; accZ [m/s2]; rotX [rad/s]; rotY [rad/s]; rotZ [rad/s]; magX [uT]; magY [uT]; magZ [uT]; roll [deg]; pitch [deg]; heading [deg]; tempMPU [degC]; delta pressure [Pa]; speed [m/s]; tempPitot [degC]; Satellites []; Date [yyyy-mm-dd]; Time [hh:mm:ss]; Latitude [deg]; Longitude [deg]; Relative X [m]; Relative Y [m]; Altitude [m]; Angle [deg]; Ch0; Ch1; Ch2; Ch3; Ch4; Ch5; Ch6; Ch7; Ch8; Ch9; 
298837; 101324; -0.70; 28.2; -0.546; 0.024; 9.753; 0.022; 0.004; -0.002; 28.832; 10.116; 4.290; -180.0; 3.0; 160.2; 31.7; -47.35; 8.87; 23.1; 12; 2025-05-13; 10:18:45; 51.935535; 4.194976; -126.588585; -24.067318; 7.8; 0.00; 1099.00; 1099.00; 645.00; 1085.00; 1599.00; 1598.00; 600.00; 598.00; 0.00; 0.00; 
298858; 101324; -0.70; 28.2; -0.694; -0.230; 9.666; 0.016; 0.002; -0.007; 27.063; 10.471; 3.604; 180.0; 3.1; 160.2; 31.7; -48.40; 8.97; 23.1; 12; 2025-05-13; 10:18:45; 51.935535; 4.194976; -126.588585; -24.067318; 7.8; 0.00; 1099.00; 1099.00; 642.00; 1085.00; 1599.00; 1598.00; 600.00; 598.00; 0.00; 0.00; 
298957; 101327; -0.96; 28.2; -0.623; 0.038; 9.748; -0.017; 0.000; -0.009; 27.063; 10.471; 3.604; 180.0; 3.1; 160.1; 31.6; -48.40; 8.97; 23.1; 12; 2025-05-13; 10:18:45; 51.935535; 4.194976; -126.588585; -24.067318; 7.8; 0.00; 1099.00; 1099.00; 639.00; 1084.00; 1599.00; 1599.00; 599.00; 600.00; 0.00; 0.00; 
299057; 101328; -1.05; 28.2; -0.646; 0.402; 9.815; -0.004; 0.000; -0.005; 27.063; 10.471; 3.604; -179.9; 3.2; 160.1; 31.6; -47.35; 8.87; 23.1; 12; 2025-05-13; 10:18:45; 51.935535; 4.194976; -126.588585; -24.067318; 7.8; 0.00; 1100.00; 1102.00; 642.00; 1083.00; 1599.00; 1599.00; 599.00; 599.00; 0.00; 0.00; 
299157; 101328; -1.08; 28.2; -0.623; 0.019; 9.834; 0.020; 0.006; -0.006; 27.063; 10.471; 3.604; -179.9; 3.2; 160.0; 31.7; -53.66; 9.44; 23.1; 12; 2025-05-13; 10:18:46; 51.935535; 4.194975; -126.611443; -24.160158; 7.8; 0.00; 1099.00; 1099.00; 643.00; 1079.00; 1599.00; 1599.00; 599.00; 599.00; 0.00; 0.00; 
299257; 101327; -1.02; 28.2; -0.656; 0.096; 9.762; -0.001; 0.000; -0.013; 27.063; 10.471; 3.604; -179.9; 3.2; 160.0; 31.6; -55.76; 9.62; 23.1; 12; 2025-05-13; 10:18:46; 51.935535; 4.194975; -126.611443; -24.160158; 7.8; 0.00; 1099.00; 1099.00; 642.00; 1082.00; 1599.00; 1600.00; 599.00; 599.00; 0.00; 0.00; 
299357; 101328; -1.05; 28.2; -0.623; 0.057; 9.757; 0.074; -0.001; -0.007; 26.886; 10.293; 3.432; -179.8; 3.2; 159.9; 31.7; -48.40; 8.97; 23.1; 12; 2025-05-13; 10:18:46; 51.935535; 4.194975; -126.611443; -24.160158; 7.8; 0.00; 1099.00; 1099.00; 642.00; 1085.00; 1598.00; 1600.00; 600.00; 600.00; 0.00; 0.00; 
299457; 101326; -0.88; 28.2; -0.613; 0.019; 9.863; 0.033; 0.000; 0.000; 26.886; 10.293; 3.432; -179.8; 3.3; 159.9; 31.7; -51.55; 9.25; 23.1; 12; 2025-05-13; 10:18:46; 51.935535; 4.194975; -126.611443; -24.160158; 7.8; 0.00; 1099.00; 1100.00; 643.00; 1085.00; 1598.00; 1599.00; 600.00; 599.00; 0.00; 0.00; 
299557; 101326; -0.91; 28.2; -0.642; -0.215; 9.705; 0.009; 0.001; -0.004; 26.886; 10.293; 3.432; -179.9; 3.3; 159.8; 31.7; -46.29; 8.77; 23.1; 12; 2025-05-13; 10:18:46; 51.935535; 4.194975; -126.611443; -24.160158; 7.8; 0.00; 1100.00; 1102.00; 643.00; 1084.00; 1602.00; 1599.00; 599.00; 599.00; 0.00; 0.00; 
299657; 101329; -1.17; 28.2; -0.747; 0.029; 9.671; -0.005; 0.004; -0.007; 26.886; 10.293; 3.432; -179.9; 3.3; 159.8; 31.7; -55.76; 9.62; 23.1; 12; 2025-05-13; 10:18:46; 51.935535; 4.194975; -126.611443; -24.160158; 7.8; 0.00; 1096.00; 1099.00; 643.00; 1084.00; 1597.00; 1599.00; 599.00; 599.00; 0.00; 0.00; 
