0,1,2,3,4,5,6
-18.0,-0.9448,0.10564,0.10217,-0.0386,1.0,0.0298
-17.75,-0.9829,0.09476,0.09107,-0.0452,1.0,0.0299
-17.5,-1.0091,0.08642,0.08256,-0.0504,1.0,0.03
-17.25,-1.0299,0.07926,0.07524,-0.0547,1.0,0.0302
-17.0,-1.0474,0.07287,0.06871,-0.0586,1.0,0.0303
-16.75,-1.0624,0.06707,0.06275,-0.0622,1.0,0.0305
-16.5,-1.0748,0.06178,0.05731,-0.0653,1.0,0.0308
-16.25,-1.0846,0.05698,0.05237,-0.0682,1.0,0.031
-16.0,-1.0924,0.05261,0.04784,-0.0707,1.0,0.0313
-15.75,-1.0981,0.04866,0.04373,-0.0729,1.0,0.0316
-15.5,-1.1018,0.04513,0.04003,-0.0747,1.0,0.0318
-15.25,-1.1045,0.04198,0.03677,-0.0756,1.0,0.0322
-15.0,-1.1034,0.03941,0.03416,-0.0761,1.0,0.0326
-14.75,-1.0995,0.03726,0.03196,-0.0764,1.0,0.0331
-14.5,-1.0948,0.03533,0.02998,-0.0765,1.0,0.0335
-14.25,-1.0896,0.03359,0.02816,-0.0762,1.0,0.0341
-14.0,-1.0845,0.03199,0.02648,-0.0755,1.0,0.0346
-13.75,-1.0795,0.03055,0.02493,-0.0744,1.0,0.0352
-13.5,-1.0744,0.02929,0.02355,-0.0727,1.0,0.0357
-13.25,-1.0696,0.02826,0.02238,-0.0706,1.0,0.0362
-13.0,-1.0698,0.027,0.02109,-0.0673,1.0,0.0368
-12.75,-1.0724,0.02616,0.02024,-0.0631,1.0,0.0372
-12.5,-1.0713,0.02549,0.01955,-0.0591,1.0,0.0378
-12.25,-1.0669,0.02486,0.01889,-0.0556,1.0,0.0384
-12.0,-1.0616,0.02427,0.01826,-0.0522,1.0,0.0391
-11.75,-1.0551,0.02371,0.01763,-0.0489,1.0,0.0398
-11.5,-1.047,0.02321,0.01702,-0.0458,1.0,0.0406
