alpha,CL,CD
-19.5,-1.048,0.11504
-19.0,-1.1179,0.09606
-18.5,-1.2104,0.07464
-18.0,-1.28,0.05719
-17.5,-1.3115,0.04562
-17.0,-1.3225,0.03768
-16.5,-1.3239,0.03193
-16.0,-1.3149,0.02812
-15.5,-1.3002,0.02543
-15.0,-1.2823,0.02345
-14.5,-1.2662,0.02201
-14.0,-1.2561,0.0209
-13.5,-1.2263,0.01971
-13.0,-1.1727,0.01854
-12.5,-1.1167,0.01751
-12.0,-1.0624,0.01646
-11.5,-1.0043,0.01558
-11.0,-0.9513,0.01475
-10.5,-0.8958,0.01401
-10.0,-0.8444,0.01333
-9.5,-0.7933,0.01273
-9.0,-0.7421,0.01215
-8.5,-0.6903,0.01165
-8.0,-0.6381,0.01119
-7.5,-0.5854,0.01075
-6.5,-0.4781,0.01
-6.0,-0.4239,0.00968
-5.5,-0.3695,0.0094
-5.0,-0.3151,0.00914
-4.5,-0.2604,0.00889
-4.0,-0.2057,0.0087
-3.5,-0.1507,0.0085
-2.5,-0.0406,0.0082
-2.0,0.0145,0.00809
-1.5,0.0699,0.00799
-1.0,0.1253,0.0079
-0.5,0.1806,0.00783
0.0,0.2359,0.00776
0.5,0.2909,0.00764
1.0,0.3457,0.00755
1.5,0.4006,0.0075
2.0,0.4554,0.00749
2.5,0.5098,0.00751
3.0,0.5635,0.00756
3.5,0.6159,0.00769
4.0,0.6674,0.00785
4.5,0.7174,0.00815
5.0,0.7715,0.00858
5.5,0.8317,0.0091
6.0,0.8929,0.00969
7.0,1.0068,0.011
7.5,1.046,0.01161
8.0,1.0872,0.01225
8.5,1.1288,0.01296
9.0,1.1705,0.01368
9.5,1.2109,0.01442
10.0,1.247,0.0152
10.5,1.282,0.01606
11.0,1.3163,0.01703
11.5,1.3491,0.01812
12.0,1.3803,0.01935
12.5,1.4105,0.02072
13.0,1.4379,0.02233
13.5,1.4636,0.02417
14.0,1.4864,0.02634
14.5,1.5068,0.02884
15.0,1.5235,0.03183
15.5,1.5388,0.03512
16.0,1.5489,0.03911
16.5,1.5551,0.04374
17.0,1.56,0.04879
17.5,1.5593,0.05467
18.0,1.5534,0.06144
18.5,1.5431,0.06897
19.0,1.532,0.07687
19.5,1.5162,0.08555
20.0,1.4968,0.095
20.5,1.4739,0.10514
21.0,1.4488,0.11592
21.5,1.4217,0.12727
22.0,1.4027,0.13757
22.5,1.3819,0.14841
23.0,1.3645,0.15892
23.5,1.3463,0.16992
24.0,1.3309,0.18056
24.5,1.3166,0.19124
25.0,1.3039,0.2019
