  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.413 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
 -18.750  -0.6064   0.20905   0.23529   0.0149   1.0000   0.0333   1.0000  99.3509
 -18.500  -0.5980   0.20607   0.22965   0.0130   1.0000   0.0342   1.0000  99.5780
 -18.000  -0.8651   0.12061   0.09952  -0.0303   1.0000   0.0319   1.0000  99.0367
 -17.750  -0.8474   0.12066   0.10035  -0.0297   1.0000   0.0324   1.0000  99.1391
 -17.500  -0.8278   0.12086   0.10126  -0.0293   1.0000   0.0328   1.0000  99.2374
 -17.250  -0.8040   0.12191   0.10315  -0.0285   1.0000   0.0332   1.0000  99.3460
 -17.000  -0.7836   0.12222   0.10411  -0.0281   1.0000   0.0337   1.0000  99.4623
 -16.750  -0.7576   0.12375   0.10652  -0.0271   1.0000   0.0343   1.0000  99.5921
 -16.500  -0.7273   0.12623   0.11009  -0.0257   1.0000   0.0349   1.0000  99.7187
 -16.250  -0.6953   0.12919   0.11423  -0.0243   1.0000   0.0353   1.0000  99.8226
 -16.000  -0.6625   0.13251   0.11879  -0.0229   1.0000   0.0356   1.0000  99.8933
 -15.750  -0.6244   0.13744   0.12534  -0.0210   1.0000   0.0358   1.0000  99.9340
 -15.500  -0.5523   0.15366   0.14636  -0.0152   1.0000   0.0404   1.0000 100.9169
 -15.250  -0.5436   0.15119   0.14369  -0.0159   1.0000   0.0399   1.0000 100.7996
 -15.000  -0.5464   0.14532   0.13651  -0.0182   1.0000   0.0386   1.0000 100.5342
 -14.750  -0.5289   0.14593   0.13740  -0.0183   1.0000   0.0429   1.0000 101.4031
 -14.500  -1.0775   0.03785   0.02089  -0.0774   1.0000   0.0354   1.0000  99.8483
 -14.250  -1.0769   0.03576   0.01918  -0.0771   1.0000   0.0359   1.0000  99.9490
 -14.000  -1.0752   0.03377   0.01770  -0.0762   1.0000   0.0363   1.0000 100.0572
 -13.750  -1.0694   0.03219   0.01669  -0.0750   1.0000   0.0369   1.0000 100.1759
 -13.500  -1.0630   0.03094   0.01588  -0.0736   1.0000   0.0374   1.0000 100.2889
 -13.250  -1.0573   0.02985   0.01516  -0.0717   1.0000   0.0380   1.0000 100.4092
 -13.000  -1.0536   0.02887   0.01451  -0.0691   1.0000   0.0386   1.0000 100.5356
 -12.750  -1.0536   0.02805   0.01396  -0.0653   1.0000   0.0392   1.0000 100.6586
 -12.500  -1.0540   0.02732   0.01346  -0.0613   1.0000   0.0398   1.0000 100.7855
 -12.250  -1.0500   0.02662   0.01293  -0.0578   1.0000   0.0404   1.0000 100.9240
 -12.000  -1.0463   0.02575   0.01235  -0.0543   1.0000   0.0411   1.0000 101.0649
 -11.750  -1.0414   0.02493   0.01192  -0.0509   1.0000   0.0419   1.0000 101.2142
 -11.500  -1.0341   0.02435   0.01159  -0.0478   1.0000   0.0427   1.0000 101.3670
 -11.250  -1.0257   0.02381   0.01125  -0.0448   1.0000   0.0436   1.0000 101.5392
 -11.000  -1.0163   0.02325   0.01085  -0.0419   1.0000   0.0446   1.0000 101.7263
 -10.750  -1.0058   0.02272   0.01042  -0.0392   1.0000   0.0455   1.0000 101.9097
 -10.500  -0.9959   0.02198   0.00993  -0.0365   1.0000   0.0465   1.0000 102.0875
 -10.250  -0.9847   0.02133   0.00957  -0.0340   1.0000   0.0476   1.0019 102.2746
 -10.000  -0.9517   0.02073   0.00916  -0.0356   0.9977   0.0494   1.2512 102.5843
  -9.750  -0.9176   0.02022   0.00870  -0.0373   0.9952   0.0513   1.5340 102.9297
  -9.500  -0.8851   0.01937   0.00817  -0.0390   0.9928   0.0534   1.7993 103.2600
  -9.250  -0.8494   0.01884   0.00781  -0.0411   0.9909   0.0556   2.0035 103.6136
  -9.000  -0.8174   0.01840   0.00742  -0.0422   0.9872   0.0579   2.3226 103.9722
  -8.750  -0.7851   0.01764   0.00699  -0.0437   0.9839   0.0607   2.5981 104.3703
  -8.500  -0.7488   0.01721   0.00667  -0.0457   0.9815   0.0638   2.8014 104.8140
  -8.250  -0.7125   0.01657   0.00624  -0.0479   0.9797   0.0672   2.9594 105.2589
  -8.000  -0.6816   0.01615   0.00597  -0.0487   0.9749   0.0707   3.3233 105.7050
  -7.750  -0.6474   0.01562   0.00561  -0.0503   0.9713   0.0748   3.5933 106.2082
  -7.500  -0.6099   0.01516   0.00531  -0.0524   0.9689   0.0795   3.7755 106.7512
  -7.250  -0.5713   0.01462   0.00496  -0.0549   0.9672   0.0850   3.9087 107.3454
  -7.000  -0.5362   0.01427   0.00471  -0.0565   0.9635   0.0907   4.1655 107.9389
  -6.750  -0.5053   0.01376   0.00442  -0.0572   0.9582   0.0972   4.5325 108.5550
  -6.500  -0.4701   0.01333   0.00413  -0.0588   0.9548   0.1048   4.7672 109.2403
  -6.250  -0.4344   0.01296   0.00388  -0.0604   0.9519   0.1132   4.9633 109.9593
  -6.000  -0.4094   0.01257   0.00367  -0.0598   0.9440   0.1219   5.4694 110.6530
  -5.750  -0.3786   0.01219   0.00344  -0.0604   0.9388   0.1322   5.7972 111.4252
  -5.500  -0.3498   0.01187   0.00324  -0.0605   0.9330   0.1433   6.1575 112.2250
  -5.250  -0.3232   0.01159   0.00307  -0.0600   0.9249   0.1551   6.6481 113.0364
  -5.000  -0.2939   0.01126   0.00287  -0.0602   0.9191   0.1692   6.9938 113.9580
  -4.750  -0.2694   0.01099   0.00274  -0.0594   0.9092   0.1836   7.5755 114.8663
  -4.500  -0.2413   0.01070   0.00256  -0.0592   0.9022   0.2001   7.9803 115.8671
  -4.250  -0.2161   0.01046   0.00245  -0.0586   0.8916   0.2170   8.5822 116.8707
  -4.000  -0.1885   0.01022   0.00230  -0.0583   0.8832   0.2357   9.0593 117.9548
  -3.750  -0.1627   0.01000   0.00220  -0.0578   0.8721   0.2551   9.6839 119.0558
  -3.500  -0.1359   0.00978   0.00208  -0.0574   0.8620   0.2762  10.2480 120.2368
  -3.250  -0.1093   0.00957   0.00198  -0.0570   0.8509   0.2987  10.8634 121.4764
  -3.000  -0.0828   0.00939   0.00189  -0.0565   0.8390   0.3225  11.5196 122.7724
  -2.750  -0.0559   0.00921   0.00179  -0.0562   0.8277   0.3479  12.1442 124.1378
  -2.500  -0.0296   0.00902   0.00171  -0.0557   0.8149   0.3758  12.8461 125.6333
  -2.250  -0.0034   0.00884   0.00164  -0.0553   0.8019   0.4068  13.5608 127.2817
  -2.000   0.0228   0.00866   0.00157  -0.0548   0.7890   0.4435  14.2660 129.2440
  -1.750   0.0487   0.00849   0.00152  -0.0542   0.7759   0.4847  14.9868 131.4313
  -1.500   0.0745   0.00834   0.00149  -0.0536   0.7616   0.5273  15.7711 133.6815
  -1.250   0.1003   0.00821   0.00147  -0.0530   0.7474   0.5693  16.5428 135.8858
  -1.000   0.1262   0.00811   0.00146  -0.0524   0.7335   0.6094  17.3048 137.9841
  -0.750   0.1519   0.00803   0.00144  -0.0517   0.7193   0.6473  18.0799 139.9615
  -0.500   0.1776   0.00796   0.00145  -0.0510   0.7047   0.6838  18.8802 141.8602
  -0.250   0.2033   0.00791   0.00147  -0.0503   0.6900   0.7188  19.6817 143.6756
   0.000   0.2290   0.00788   0.00149  -0.0496   0.6758   0.7521  20.4590 145.4055
   0.250   0.2546   0.00788   0.00151  -0.0488   0.6618   0.7848  21.2246 147.0989
   0.750   0.3056   0.00794   0.00160  -0.0471   0.6338   0.8445  22.7569 150.2097
   1.000   0.3313   0.00801   0.00166  -0.0462   0.6204   0.8714  23.4886 151.6239
   1.250   0.3570   0.00811   0.00172  -0.0454   0.6075   0.8960  24.1924 152.9384
   1.500   0.3837   0.00825   0.00178  -0.0447   0.5946   0.9168  24.9012 154.0829
