  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.239 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -18.750  -1.3010   0.06468   0.06093  -0.0573   1.0000   0.0162
 -18.500  -1.3317   0.05665   0.05273  -0.0619   1.0000   0.0163
 -18.250  -1.3525   0.05016   0.04610  -0.0657   1.0000   0.0163
 -18.000  -1.3656   0.04495   0.04076  -0.0687   1.0000   0.0164
 -17.750  -1.3729   0.04071   0.03640  -0.0711   1.0000   0.0166
 -17.500  -1.3759   0.03725   0.03284  -0.0728   1.0000   0.0167
 -17.250  -1.3758   0.03436   0.02985  -0.0739   1.0000   0.0169
 -17.000  -1.3731   0.03195   0.02736  -0.0745   1.0000   0.0171
 -16.750  -1.3686   0.02993   0.02526  -0.0747   1.0000   0.0173
 -16.500  -1.3623   0.02823   0.02348  -0.0745   1.0000   0.0175
 -16.250  -1.3547   0.02679   0.02197  -0.0740   1.0000   0.0178
 -16.000  -1.3458   0.02555   0.02066  -0.0732   1.0000   0.0179
 -15.750  -1.3375   0.02439   0.01944  -0.0720   1.0000   0.0182
 -15.500  -1.3295   0.02332   0.01831  -0.0705   1.0000   0.0185
 -15.250  -1.3207   0.02243   0.01737  -0.0686   1.0000   0.0188
 -15.000  -1.3121   0.02167   0.01657  -0.0664   1.0000   0.0191
 -14.750  -1.3060   0.02105   0.01591  -0.0634   1.0000   0.0194
 -14.500  -1.3007   0.02053   0.01535  -0.0599   1.0000   0.0196
 -14.250  -1.2921   0.02003   0.01481  -0.0569   1.0000   0.0199
 -14.000  -1.2760   0.01950   0.01425  -0.0554   0.9994   0.0203
 -13.750  -1.2501   0.01893   0.01363  -0.0558   0.9978   0.0207
 -13.500  -1.2233   0.01840   0.01306  -0.0562   0.9961   0.0210
 -13.250  -1.1965   0.01780   0.01243  -0.0568   0.9946   0.0216
 -13.000  -1.1685   0.01724   0.01185  -0.0575   0.9935   0.0222
 -12.750  -1.1419   0.01675   0.01133  -0.0578   0.9915   0.0229
 -12.500  -1.1149   0.01629   0.01085  -0.0581   0.9890   0.0235
 -12.250  -1.0872   0.01587   0.01039  -0.0585   0.9864   0.0241
 -12.000  -1.0589   0.01544   0.00994  -0.0590   0.9840   0.0246
 -11.750  -1.0302   0.01497   0.00946  -0.0596   0.9819   0.0254
 -11.500  -1.0056   0.01459   0.00906  -0.0592   0.9772   0.0262
 -11.250  -0.9790   0.01422   0.00867  -0.0593   0.9729   0.0269
 -11.000  -0.9513   0.01388   0.00830  -0.0595   0.9693   0.0277
 -10.750  -0.9266   0.01354   0.00794  -0.0590   0.9637   0.0286
 -10.500  -0.9013   0.01319   0.00758  -0.0587   0.9579   0.0297
 -10.250  -0.8756   0.01288   0.00726  -0.0583   0.9524   0.0307
 -10.000  -0.8503   0.01261   0.00695  -0.0579   0.9455   0.0316
  -9.750  -0.8249   0.01232   0.00663  -0.0575   0.9389   0.0326
  -9.500  -0.7995   0.01203   0.00633  -0.0571   0.9315   0.0339
  -9.250  -0.7739   0.01178   0.00605  -0.0566   0.9234   0.0353
  -9.000  -0.7478   0.01154   0.00579  -0.0563   0.9151   0.0366
  -8.750  -0.7222   0.01129   0.00550  -0.0559   0.9056   0.0383
  -8.500  -0.6959   0.01106   0.00525  -0.0556   0.8954   0.0399
  -8.250  -0.6696   0.01087   0.00501  -0.0552   0.8849   0.0413
  -8.000  -0.6433   0.01064   0.00476  -0.0549   0.8735   0.0434
  -7.750  -0.6166   0.01045   0.00454  -0.0546   0.8633   0.0456
  -7.500  -0.5900   0.01026   0.00432  -0.0544   0.8527   0.0479
  -7.250  -0.5629   0.01007   0.00412  -0.0542   0.8432   0.0504
  -7.000  -0.5359   0.00992   0.00392  -0.0540   0.8326   0.0528
  -6.750  -0.5089   0.00973   0.00373  -0.0538   0.8211   0.0562
  -6.500  -0.4817   0.00959   0.00355  -0.0536   0.8099   0.0592
  -6.250  -0.4546   0.00943   0.00337  -0.0534   0.7985   0.0629
  -6.000  -0.4271   0.00929   0.00321  -0.0532   0.7872   0.0668
  -5.750  -0.3999   0.00915   0.00305  -0.0531   0.7749   0.0714
  -5.500  -0.3726   0.00904   0.00290  -0.0529   0.7616   0.0757
  -5.250  -0.3451   0.00891   0.00276  -0.0528   0.7491   0.0812
  -5.000  -0.3177   0.00879   0.00262  -0.0526   0.7363   0.0871
  -4.750  -0.2902   0.00870   0.00250  -0.0525   0.7226   0.0929
  -4.500  -0.2627   0.00858   0.00238  -0.0523   0.7091   0.1004
  -4.250  -0.2351   0.00848   0.00227  -0.0522   0.6960   0.1081
  -4.000  -0.2075   0.00840   0.00217  -0.0521   0.6823   0.1159
  -3.750  -0.1800   0.00831   0.00207  -0.0520   0.6685   0.1252
  -3.500  -0.1523   0.00822   0.00198  -0.0519   0.6546   0.1354
  -3.250  -0.1246   0.00814   0.00190  -0.0518   0.6411   0.1457
  -3.000  -0.0969   0.00809   0.00183  -0.0517   0.6279   0.1566
  -2.500  -0.0414   0.00794   0.00170  -0.0515   0.6010   0.1828
  -2.250  -0.0136   0.00789   0.00165  -0.0514   0.5881   0.1965
  -2.000   0.0141   0.00784   0.00161  -0.0514   0.5752   0.2109
  -1.750   0.0420   0.00779   0.00157  -0.0513   0.5624   0.2261
  -1.500   0.0699   0.00774   0.00154  -0.0512   0.5507   0.2424
  -1.250   0.0977   0.00771   0.00151  -0.0512   0.5388   0.2589
