  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.400 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2383   0.00633   0.00135  -0.0514   0.5578   0.5211
   0.250   0.2660   0.00627   0.00137  -0.0513   0.5456   0.5565
   0.500   0.2936   0.00623   0.00139  -0.0512   0.5340   0.5907
   0.750   0.3209   0.00622   0.00142  -0.0510   0.5219   0.6225
   1.000   0.3487   0.00619   0.00146  -0.0509   0.5112   0.6538
   1.250   0.3761   0.00618   0.00150  -0.0507   0.5006   0.6853
   1.500   0.4035   0.00617   0.00155  -0.0505   0.4898   0.7156
   1.750   0.4310   0.00616   0.00160  -0.0503   0.4802   0.7462
   2.000   0.4579   0.00618   0.00166  -0.0500   0.4695   0.7762
   2.250   0.4854   0.00617   0.00172  -0.0498   0.4606   0.8051
   2.500   0.5119   0.00621   0.00180  -0.0494   0.4499   0.8335
   2.750   0.5391   0.00622   0.00187  -0.0491   0.4410   0.8604
   3.000   0.5654   0.00629   0.00196  -0.0486   0.4309   0.8849
   3.250   0.5919   0.00634   0.00205  -0.0481   0.4213   0.9073
   3.500   0.6180   0.00643   0.00215  -0.0476   0.4110   0.9267
   3.750   0.6441   0.00654   0.00225  -0.0470   0.3994   0.9433
   4.000   0.6711   0.00666   0.00234  -0.0467   0.3882   0.9570
   4.250   0.6985   0.00681   0.00245  -0.0464   0.3757   0.9687
   4.500   0.7288   0.00700   0.00258  -0.0469   0.3614   0.9769
   4.750   0.7603   0.00718   0.00270  -0.0477   0.3467   0.9834
   5.000   0.7954   0.00740   0.00285  -0.0493   0.3310   0.9878
   5.250   0.8311   0.00764   0.00301  -0.0511   0.3146   0.9918
   5.500   0.8673   0.00789   0.00318  -0.0530   0.2975   0.9941
   5.750   0.9025   0.00815   0.00335  -0.0547   0.2796   0.9959
   6.000   0.9363   0.00843   0.00354  -0.0562   0.2619   0.9977
   6.250   0.9697   0.00871   0.00373  -0.0575   0.2443   0.9993
   6.500   0.9958   0.00898   0.00392  -0.0573   0.2280   1.0000
   6.750   1.0145   0.00924   0.00410  -0.0556   0.2130   1.0000
   7.000   1.0333   0.00951   0.00430  -0.0538   0.1987   1.0000
   7.250   1.0525   0.00978   0.00450  -0.0521   0.1850   1.0000
   7.500   1.0719   0.01007   0.00472  -0.0505   0.1714   1.0000
   7.750   1.0915   0.01037   0.00496  -0.0490   0.1586   1.0000
   8.000   1.1114   0.01069   0.00521  -0.0475   0.1460   1.0000
   8.250   1.1320   0.01102   0.00547  -0.0462   0.1345   1.0000
   8.500   1.1528   0.01137   0.00576  -0.0449   0.1235   1.0000
   8.750   1.1735   0.01174   0.00607  -0.0437   0.1130   1.0000
   9.250   1.2156   0.01246   0.00669  -0.0415   0.0959   1.0000
   9.500   1.2365   0.01283   0.00703  -0.0403   0.0886   1.0000
   9.750   1.2565   0.01323   0.00739  -0.0391   0.0817   1.0000
  10.000   1.2766   0.01361   0.00774  -0.0379   0.0761   1.0000
