alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-18.750,-1.1187,0.09137,0.08805,-0.0428,1.0000,0.0221
-18.500,-1.1431,0.08400,0.08057,-0.0468,1.0000,0.0222
-18.250,-1.1683,0.07669,0.07315,-0.0507,1.0000,0.0223
-18.000,-1.1939,0.06945,0.06578,-0.0546,1.0000,0.0223
-17.750,-1.2162,0.06266,0.05887,-0.0583,1.0000,0.0224
-17.500,-1.2354,0.05632,0.05240,-0.0619,1.0000,0.0225
-17.250,-1.2492,0.05078,0.04674,-0.0651,1.0000,0.0227
-17.000,-1.2581,0.04603,0.04188,-0.0679,1.0000,0.0229
-16.750,-1.2636,0.04189,0.03763,-0.0703,1.0000,0.0231
-16.500,-1.2651,0.03847,0.03409,-0.0721,1.0000,0.0233
-16.250,-1.2642,0.03554,0.03106,-0.0734,1.0000,0.0236
-16.000,-1.2610,0.03307,0.02849,-0.0742,1.0000,0.0238
-15.750,-1.2559,0.03100,0.02633,-0.0746,1.0000,0.0241
-15.500,-1.2486,0.02930,0.02454,-0.0745,1.0000,0.0243
-15.250,-1.2478,0.02729,0.02244,-0.0739,1.0000,0.0246
-15.000,-1.2473,0.02553,0.02060,-0.0725,1.0000,0.0250
-14.750,-1.2421,0.02428,0.01931,-0.0708,1.0000,0.0254
-14.500,-1.2349,0.02333,0.01831,-0.0688,1.0000,0.0258
-14.250,-1.2282,0.02258,0.01751,-0.0663,1.0000,0.0262
-14.000,-1.2260,0.02199,0.01688,-0.0625,1.0000,0.0265
-13.750,-1.2224,0.02147,0.01630,-0.0587,1.0000,0.0269
-13.500,-1.2160,0.02097,0.01575,-0.0554,1.0000,0.0273
-13.250,-1.2087,0.02053,0.01526,-0.0520,1.0000,0.0277
-13.000,-1.1997,0.02016,0.01483,-0.0489,1.0000,0.0280
-12.750,-1.1970,0.01945,0.01409,-0.0449,1.0000,0.0286
-12.000,-1.1143,0.01774,0.01230,-0.0467,0.9962,0.0310
-11.750,-1.0825,0.01730,0.01180,-0.0480,0.9949,0.0318
-11.500,-1.0520,0.01661,0.01109,-0.0492,0.9937,0.0328
-11.250,-1.0218,0.01608,0.01054,-0.0502,0.9922,0.0339
-11.000,-0.9919,0.01566,0.01010,-0.0509,0.9898,0.0350
-10.750,-0.9600,0.01530,0.00971,-0.0520,0.9878,0.0361
