alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-18.750,-1.1856,0.08164,0.07833,-0.0478,1.0000,0.0205
-18.500,-1.2195,0.07310,0.06965,-0.0524,1.0000,0.0205
-18.250,-1.2510,0.06502,0.06142,-0.0567,1.0000,0.0205
-18.000,-1.2767,0.05772,0.05397,-0.0608,1.0000,0.0206
-17.750,-1.2951,0.05151,0.04762,-0.0645,1.0000,0.0206
-17.500,-1.3073,0.04629,0.04227,-0.0675,1.0000,0.0207
-17.250,-1.3135,0.04204,0.03790,-0.0699,1.0000,0.0209
-17.000,-1.3147,0.03862,0.03438,-0.0718,1.0000,0.0210
-16.750,-1.3179,0.03520,0.03084,-0.0733,1.0000,0.0212
-16.500,-1.3246,0.03173,0.02727,-0.0745,1.0000,0.0215
-16.250,-1.3249,0.02927,0.02472,-0.0747,1.0000,0.0218
-16.000,-1.3205,0.02746,0.02285,-0.0743,1.0000,0.0221
-15.750,-1.3135,0.02603,0.02136,-0.0736,1.0000,0.0225
-15.500,-1.3050,0.02485,0.02012,-0.0725,1.0000,0.0228
-15.250,-1.2957,0.02383,0.01904,-0.0712,1.0000,0.0231
-15.000,-1.2861,0.02295,0.01810,-0.0695,1.0000,0.0234
-14.750,-1.2768,0.02219,0.01729,-0.0675,1.0000,0.0238
-14.500,-1.2695,0.02158,0.01662,-0.0647,1.0000,0.0240
-14.250,-1.2662,0.02110,0.01609,-0.0608,1.0000,0.0242
-14.000,-1.2612,0.02052,0.01546,-0.0573,1.0000,0.0245
-13.750,-1.2600,0.01982,0.01472,-0.0531,1.0000,0.0250
-13.500,-1.2546,0.01929,0.01416,-0.0495,1.0000,0.0255
-13.250,-1.2467,0.01884,0.01368,-0.0462,1.0000,0.0259
-12.500,-1.1611,0.01738,0.01211,-0.0483,0.9966,0.0278
-12.250,-1.1317,0.01675,0.01144,-0.0493,0.9953,0.0287
-12.000,-1.1012,0.01617,0.01086,-0.0504,0.9942,0.0296
-11.750,-1.0694,0.01572,0.01039,-0.0517,0.9934,0.0305
-11.500,-1.0399,0.01532,0.00996,-0.0523,0.9914,0.0313
-11.250,-1.0094,0.01498,0.00958,-0.0531,0.9894,0.0320
-11.000,-0.9796,0.01438,0.00898,-0.0540,0.9874,0.0334
-10.750,-0.9475,0.01397,0.00857,-0.0552,0.9860,0.0346
-10.500,-0.9141,0.01363,0.00821,-0.0566,0.9848,0.0358
-10.250,-0.8810,0.01321,0.00777,-0.0580,0.9836,0.0372
-10.000,-0.8486,0.01279,0.00736,-0.0592,0.9822,0.0388
-9.750,-0.8211,0.01249,0.00705,-0.0592,0.9782,0.0402
-9.500,-0.7923,0.01219,0.00673,-0.0595,0.9742,0.0415
-9.250,-0.7640,0.01180,0.00635,-0.0597,0.9705,0.0436
-9.000,-0.7374,0.01154,0.00607,-0.0595,0.9655,0.0455
-8.750,-0.7121,0.01127,0.00578,-0.0589,0.9592,0.0473
-8.500,-0.6860,0.01096,0.00548,-0.0586,0.9537,0.0497
-8.250,-0.6609,0.01074,0.00524,-0.0579,0.9462,0.0517
-8.000,-0.6351,0.01046,0.00496,-0.0575,0.9397,0.0545
-7.750,-0.6091,0.01023,0.00473,-0.0571,0.9326,0.0574
-7.500,-0.5828,0.01001,0.00449,-0.0567,0.9254,0.0605
-7.250,-0.5563,0.00978,0.00426,-0.0564,0.9184,0.0640
-7.000,-0.5295,0.00958,0.00405,-0.0560,0.9104,0.0677
-6.750,-0.5028,0.00937,0.00384,-0.0557,0.9027,0.0722
-6.500,-0.4758,0.00917,0.00364,-0.0555,0.8940,0.0769
-6.250,-0.4487,0.00900,0.00346,-0.0553,0.8859,0.0819
-6.000,-0.4217,0.00880,0.00328,-0.0550,0.8766,0.0883
-5.750,-0.3944,0.00865,0.00310,-0.0548,0.8673,0.0944
-5.500,-0.3671,0.00847,0.00294,-0.0546,0.8570,0.1018
-5.250,-0.3398,0.00831,0.00279,-0.0544,0.8472,0.1103
-5.000,-0.3124,0.00817,0.00264,-0.0542,0.8360,0.1187
-4.750,-0.2848,0.00804,0.00251,-0.0541,0.8249,0.1279
-4.500,-0.2576,0.00789,0.00238,-0.0539,0.8135,0.1394
-4.250,-0.2300,0.00776,0.00226,-0.0537,0.8012,0.1511
-4.000,-0.2024,0.00764,0.00215,-0.0536,0.7891,0.1636
-3.750,-0.1750,0.00754,0.00205,-0.0534,0.7765,0.1769
-3.500,-0.1474,0.00744,0.00195,-0.0533,0.7629,0.1911
-3.250,-0.1197,0.00734,0.00187,-0.0532,0.7498,0.2063
-2.750,-0.0647,0.00717,0.00172,-0.0529,0.7223,0.2400
-2.500,-0.0370,0.00709,0.00166,-0.0527,0.7080,0.2584
-2.250,-0.0094,0.00701,0.00161,-0.0526,0.6940,0.2780
-2.000,0.0182,0.00694,0.00156,-0.0525,0.6799,0.2986
-1.750,0.0457,0.00688,0.00152,-0.0523,0.6656,0.3206
-1.500,0.0732,0.00683,0.00149,-0.0522,0.6509,0.3437
-1.000,0.1284,0.00669,0.00143,-0.0520,0.6230,0.3968
-0.750,0.1557,0.00661,0.00142,-0.0518,0.6094,0.4304
-0.500,0.1827,0.00654,0.00141,-0.0516,0.5952,0.4684
-0.250,0.2101,0.00646,0.00141,-0.0514,0.5820,0.5079
0.000,0.2375,0.00640,0.00142,-0.0513,0.5694,0.5439
0.250,0.2648,0.00637,0.00144,-0.0511,0.5568,0.5782
0.500,0.2922,0.00634,0.00147,-0.0509,0.5440,0.6118
0.750,0.3197,0.00630,0.00150,-0.0508,0.5327,0.6447
1.000,0.3469,0.00630,0.00154,-0.0505,0.5211,0.6757
1.250,0.3744,0.00628,0.00158,-0.0503,0.5101,0.7072
1.500,0.4016,0.00627,0.00163,-0.0501,0.4998,0.7376
1.750,0.4286,0.00629,0.00169,-0.0498,0.4886,0.7679
2.000,0.4558,0.00627,0.00175,-0.0495,0.4792,0.7981
2.250,0.4824,0.00632,0.00182,-0.0491,0.4685,0.8263
2.500,0.5093,0.00632,0.00190,-0.0487,0.4593,0.8540
2.750,0.5357,0.00638,0.00199,-0.0482,0.4493,0.8797
3.000,0.5622,0.00643,0.00207,-0.0478,0.4396,0.9021
3.250,0.5883,0.00652,0.00217,-0.0472,0.4297,0.9224
3.500,0.6145,0.00662,0.00227,-0.0466,0.4190,0.9398
3.750,0.6413,0.00673,0.00236,-0.0462,0.4088,0.9544
4.000,0.6687,0.00688,0.00247,-0.0460,0.3969,0.9667
4.250,0.7002,0.00703,0.00258,-0.0467,0.3842,0.9746
4.500,0.7308,0.00720,0.00270,-0.0472,0.3711,0.9822
4.750,0.7664,0.00740,0.00283,-0.0489,0.3562,0.9862
5.000,0.8034,0.00762,0.00298,-0.0510,0.3403,0.9901
5.250,0.8396,0.00786,0.00315,-0.0528,0.3238,0.9935
5.500,0.8764,0.00810,0.00331,-0.0549,0.3066,0.9953
5.750,0.9110,0.00835,0.00347,-0.0565,0.2892,0.9972
6.000,0.9451,0.00863,0.00366,-0.0580,0.2714,0.9991
6.250,0.9734,0.00889,0.00384,-0.0583,0.2545,1.0000
6.500,0.9925,0.00913,0.00401,-0.0566,0.2398,1.0000
6.750,1.0114,0.00939,0.00419,-0.0548,0.2248,1.0000
7.000,1.0305,0.00966,0.00439,-0.0531,0.2102,1.0000
7.250,1.0496,0.00995,0.00460,-0.0514,0.1955,1.0000
7.500,1.0688,0.01026,0.00484,-0.0498,0.1812,1.0000
7.750,1.0882,0.01058,0.00508,-0.0482,0.1674,1.0000
8.000,1.1081,0.01092,0.00535,-0.0468,0.1541,1.0000
8.250,1.1285,0.01127,0.00563,-0.0454,0.1416,1.0000
8.500,1.1495,0.01161,0.00591,-0.0442,0.1305,1.0000
8.750,1.1704,0.01196,0.00621,-0.0431,0.1200,1.0000
