alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,dCL_da,CL_3D,CL/CD,CD2/CL3,CL3/CD2
-18.5,-1.3327,0.22279336242348619,0.03547,-0.0618,1.0,0.0163,-0.08279999999999976,-1.038370246327779,-4.660687531408779,-0.044335109977890946,-22.555487073307823
-18.25,-1.3534,0.22428958193037735,0.03024,-0.0656,1.0,0.0163,-0.06720000000000015,-1.054498605372564,-4.701505064554872,-0.04290226032111531,-23.308795213007166
-18.0,-1.3663,0.22523367215705892,0.02617,-0.0686,1.0,0.0164,-0.04039999999999999,-1.0645496117338071,-4.72642301454589,-0.04205028246014512,-23.781053098698944
-17.75,-1.3736,0.2257718928148953,0.02294,-0.0709,1.0,0.0166,-0.020399999999999974,-1.0702373905273785,-4.740348221312204,-0.041581426947752936,-24.04919872654924
-17.5,-1.3765,0.22598650247869345,0.02036,-0.0727,1.0,0.0167,-0.0054000000000002935,-1.0724969190892084,-4.745845027582238,-0.04139775992968432,-24.155896398707036
-17.25,-1.3763,0.2259716872811896,0.01827,-0.0738,1.0,0.0169,0.005800000000000249,-1.0723410895332202,-4.745466577849836,-0.041410379878512274,-24.148534810203397
-17.0,-1.3736,0.2257718928148953,0.01657,-0.0744,1.0,0.0171,0.014800000000000146,-1.0702373905273785,-4.740348221312204,-0.041581426947752936,-24.04919872654924
-16.75,-1.3689,0.22542503835393624,0.01518,-0.0746,1.0,0.0173,0.022199999999999775,-1.0665753959616544,-4.731397203034037,-0.041882213018470074,-23.87648426216159
-16.5,-1.3625,0.22495463753484765,0.01403,-0.0744,1.0,0.0175,0.028000000000000025,-1.0615888501700301,-4.719124094543638,-0.04229809964877364,-23.641724056248314
-16.25,-1.3549,0.22439889971426946,0.01308,-0.0739,1.0,0.0177,0.03299999999999992,-1.0556673270424761,-4.704422920017315,-0.042801619835615,-23.363601747798928
-16.0,-1.346,0.22375205311126484,0.01229,-0.0731,1.0,0.0179,0.032200000000000006,-1.0487329118009985,-4.687031458341509,-0.04340496053840053,-23.038841358127634
