  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.400 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -18.250  -1.3285   0.05380   0.05006  -0.0633   1.0000   0.0195
 -18.000  -1.3454   0.04791   0.04404  -0.0667   1.0000   0.0196
 -17.750  -1.3554   0.04314   0.03915  -0.0695   1.0000   0.0197
 -17.500  -1.3608   0.03918   0.03509  -0.0716   1.0000   0.0199
 -17.250  -1.3621   0.03596   0.03177  -0.0731   1.0000   0.0201
 -17.000  -1.3604   0.03328   0.02899  -0.0741   1.0000   0.0203
 -16.750  -1.3567   0.03102   0.02665  -0.0746   1.0000   0.0205
 -16.500  -1.3505   0.02918   0.02473  -0.0747   1.0000   0.0207
 -16.250  -1.3423   0.02767   0.02314  -0.0745   1.0000   0.0209
 -16.000  -1.3323   0.02643   0.02183  -0.0739   1.0000   0.0211
 -15.750  -1.3327   0.02458   0.01990  -0.0726   1.0000   0.0215
 -15.500  -1.3273   0.02332   0.01858  -0.0709   1.0000   0.0219
 -15.250  -1.3190   0.02237   0.01759  -0.0691   1.0000   0.0223
 -15.000  -1.3102   0.02160   0.01678  -0.0670   1.0000   0.0226
 -14.750  -1.3037   0.02098   0.01611  -0.0640   1.0000   0.0229
 -14.500  -1.2998   0.02048   0.01557  -0.0603   1.0000   0.0232
 -14.250  -1.2916   0.01999   0.01504  -0.0572   1.0000   0.0235
 -14.000  -1.2837   0.01956   0.01457  -0.0540   1.0000   0.0238
 -13.750  -1.2754   0.01917   0.01414  -0.0508   1.0000   0.0241
 -13.500  -1.2661   0.01882   0.01374  -0.0477   1.0000   0.0243
 -13.250  -1.2440   0.01803   0.01291  -0.0474   0.9991   0.0251
 -13.000  -1.2157   0.01741   0.01227  -0.0482   0.9978   0.0258
 -12.750  -1.1861   0.01690   0.01174  -0.0491   0.9966   0.0265
 -12.500  -1.1555   0.01646   0.01128  -0.0502   0.9954   0.0272
 -12.250  -1.1240   0.01607   0.01086  -0.0513   0.9945   0.0278
 -12.000  -1.0934   0.01551   0.01026  -0.0524   0.9936   0.0287
 -11.750  -1.0642   0.01500   0.00975  -0.0531   0.9921   0.0297
 -11.500  -1.0350   0.01460   0.00933  -0.0537   0.9899   0.0306
 -11.250  -1.0039   0.01423   0.00894  -0.0547   0.9882   0.0314
 -11.000  -0.9720   0.01386   0.00854  -0.0558   0.9867   0.0322
 -10.750  -0.9403   0.01336   0.00805  -0.0570   0.9854   0.0337
 -10.500  -0.9078   0.01300   0.00769  -0.0582   0.9841   0.0350
 -10.250  -0.8754   0.01270   0.00737  -0.0593   0.9825   0.0361
 -10.000  -0.8482   0.01231   0.00697  -0.0593   0.9788   0.0376
  -9.750  -0.8210   0.01198   0.00664  -0.0593   0.9744   0.0391
  -9.500  -0.7927   0.01170   0.00635  -0.0595   0.9706   0.0405
  -9.250  -0.7667   0.01141   0.00604  -0.0591   0.9654   0.0421
  -9.000  -0.7420   0.01111   0.00575  -0.0585   0.9591   0.0441
  -8.750  -0.7156   0.01088   0.00550  -0.0581   0.9535   0.0459
  -8.500  -0.6908   0.01061   0.00522  -0.0575   0.9461   0.0480
  -8.250  -0.6650   0.01036   0.00496  -0.0570   0.9395   0.0503
  -8.000  -0.6385   0.01017   0.00475  -0.0567   0.9323   0.0522
  -7.750  -0.6126   0.00990   0.00449  -0.0562   0.9251   0.0556
  -7.500  -0.5857   0.00972   0.00428  -0.0560   0.9183   0.0583
  -7.250  -0.5592   0.00948   0.00406  -0.0557   0.9104   0.0620
  -7.000  -0.5322   0.00931   0.00386  -0.0554   0.9027   0.0653
  -6.750  -0.5053   0.00909   0.00366  -0.0552   0.8941   0.0698
  -6.500  -0.4781   0.00894   0.00348  -0.0550   0.8859   0.0737
  -6.250  -0.4510   0.00873   0.00329  -0.0547   0.8769   0.0795
  -6.000  -0.4237   0.00858   0.00312  -0.0545   0.8675   0.0848
  -5.750  -0.3963   0.00841   0.00296  -0.0544   0.8574   0.0912
  -5.500  -0.3690   0.00825   0.00280  -0.0542   0.8476   0.0983
  -5.250  -0.3415   0.00812   0.00266  -0.0540   0.8365   0.1057
  -5.000  -0.3139   0.00797   0.00252  -0.0539   0.8256   0.1142
  -4.750  -0.2866   0.00784   0.00239  -0.0537   0.8141   0.1238
  -4.500  -0.2589   0.00771   0.00226  -0.0536   0.8020   0.1339
  -4.250  -0.2312   0.00760   0.00216  -0.0534   0.7900   0.1442
  -4.000  -0.2037   0.00750   0.00205  -0.0533   0.7773   0.1563
  -3.750  -0.1761   0.00738   0.00195  -0.0531   0.7640   0.1698
  -3.500  -0.1484   0.00727   0.00186  -0.0530   0.7509   0.1837
  -3.250  -0.1208   0.00718   0.00178  -0.0529   0.7375   0.1988
  -3.000  -0.0933   0.00711   0.00170  -0.0527   0.7234   0.2145
  -2.750  -0.0655   0.00702   0.00164  -0.0527   0.7095   0.2312
  -2.500  -0.0377   0.00694   0.00158  -0.0526   0.6956   0.2487
  -2.250  -0.0100   0.00688   0.00153  -0.0524   0.6815   0.2678
  -2.000   0.0176   0.00682   0.00149  -0.0523   0.6670   0.2871
  -1.750   0.0453   0.00677   0.00145  -0.0522   0.6524   0.3075
  -1.500   0.0732   0.00671   0.00142  -0.0522   0.6386   0.3290
  -1.250   0.1009   0.00665   0.00139  -0.0521   0.6247   0.3530
  -1.000   0.1284   0.00660   0.00137  -0.0519   0.6109   0.3788
  -0.750   0.1559   0.00655   0.00135  -0.0518   0.5966   0.4082
  -0.500   0.1835   0.00646   0.00134  -0.0517   0.5837   0.4436
  -0.250   0.2109   0.00638   0.00135  -0.0516   0.5708   0.4829
   0.000   0.2382   0.00633   0.00136  -0.0514   0.5578   0.5198
   0.250   0.2658   0.00628   0.00137  -0.0513   0.5454   0.5550
   0.500   0.2934   0.00624   0.00139  -0.0512   0.5340   0.5892
