  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.493 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -18.750  -0.6013   0.20986   0.20711   0.0140   1.0000   0.0307
 -18.250  -0.9712   0.10475   0.10121  -0.0391   1.0000   0.0289
 -18.000  -0.9967   0.09629   0.09260  -0.0441   1.0000   0.0291
 -17.750  -1.0160   0.08922   0.08541  -0.0483   1.0000   0.0292
 -17.500  -1.0326   0.08274   0.07880  -0.0522   1.0000   0.0294
 -17.250  -1.0476   0.07669   0.07263  -0.0558   1.0000   0.0296
 -17.000  -1.0612   0.07102   0.06684  -0.0591   1.0000   0.0298
 -16.750  -1.0731   0.06575   0.06144  -0.0622   1.0000   0.0300
 -16.500  -1.0833   0.06082   0.05638  -0.0651   1.0000   0.0302
 -16.250  -1.0917   0.05623   0.05166  -0.0678   1.0000   0.0305
 -16.000  -1.0984   0.05200   0.04729  -0.0702   1.0000   0.0308
 -15.750  -1.1033   0.04813   0.04328  -0.0723   1.0000   0.0311
 -15.500  -1.1061   0.04468   0.03969  -0.0740   1.0000   0.0314
 -15.250  -1.1072   0.04161   0.03646  -0.0754   1.0000   0.0317
 -15.000  -1.1073   0.03886   0.03357  -0.0762   1.0000   0.0320
 -14.750  -1.1069   0.03635   0.03102  -0.0762   1.0000   0.0325
 -14.500  -1.1028   0.03438   0.02902  -0.0762   1.0000   0.0330
 -14.250  -1.0971   0.03271   0.02729  -0.0758   1.0000   0.0335
 -14.000  -1.0911   0.03122   0.02573  -0.0751   1.0000   0.0340
 -13.750  -1.0852   0.02987   0.02430  -0.0740   1.0000   0.0346
 -13.500  -1.0796   0.02866   0.02300  -0.0723   1.0000   0.0352
 -13.250  -1.0748   0.02761   0.02184  -0.0701   1.0000   0.0357
 -13.000  -1.0719   0.02679   0.02091  -0.0670   1.0000   0.0362
 -12.750  -1.0767   0.02583   0.01991  -0.0624   1.0000   0.0366
 -12.500  -1.0774   0.02498   0.01905  -0.0583   1.0000   0.0372
 -12.250  -1.0737   0.02433   0.01838  -0.0547   1.0000   0.0377
 -12.000  -1.0683   0.02376   0.01778  -0.0513   1.0000   0.0384
 -11.750  -1.0615   0.02322   0.01719  -0.0480   1.0000   0.0391
 -11.500  -1.0534   0.02271   0.01661  -0.0449   1.0000   0.0400
 -11.250  -1.0435   0.02225   0.01606  -0.0420   1.0000   0.0408
 -11.000  -1.0363   0.02149   0.01527  -0.0388   1.0000   0.0417
 -10.750  -1.0246   0.02087   0.01466  -0.0365   0.9998   0.0426
 -10.500  -0.9923   0.02027   0.01402  -0.0380   0.9978   0.0441
 -10.250  -0.9591   0.01971   0.01339  -0.0396   0.9956   0.0456
 -10.000  -0.9267   0.01893   0.01257  -0.0412   0.9937   0.0473
  -9.750  -0.8950   0.01837   0.01202  -0.0425   0.9911   0.0491
  -9.500  -0.8622   0.01792   0.01151  -0.0439   0.9881   0.0512
  -9.250  -0.8294   0.01723   0.01081  -0.0454   0.9855   0.0534
  -9.000  -0.7942   0.01673   0.01031  -0.0473   0.9835   0.0558
  -8.750  -0.7570   0.01637   0.00988  -0.0494   0.9820   0.0584
  -8.500  -0.7287   0.01572   0.00927  -0.0499   0.9774   0.0613
  -8.250  -0.6942   0.01533   0.00885  -0.0515   0.9743   0.0645
  -8.000  -0.6587   0.01476   0.00830  -0.0534   0.9720   0.0682
  -7.750  -0.6204   0.01437   0.00790  -0.0557   0.9704   0.0724
  -7.500  -0.5828   0.01384   0.00740  -0.0579   0.9689   0.0773
  -7.250  -0.5545   0.01353   0.00706  -0.0580   0.9626   0.0817
  -7.000  -0.5218   0.01304   0.00662  -0.0591   0.9586   0.0876
  -6.750  -0.4877   0.01265   0.00623  -0.0605   0.9555   0.0939
  -6.500  -0.4612   0.01232   0.00593  -0.0601   0.9487   0.1004
  -6.250  -0.4323   0.01195   0.00559  -0.0603   0.9429   0.1081
  -6.000  -0.4024   0.01163   0.00527  -0.0606   0.9383   0.1165
  -5.750  -0.3778   0.01135   0.00503  -0.0599   0.9296   0.1255
  -5.500  -0.3499   0.01102   0.00474  -0.0598   0.9234   0.1362
  -5.250  -0.3245   0.01076   0.00451  -0.0591   0.9144   0.1473
  -5.000  -0.2973   0.01050   0.00426  -0.0588   0.9069   0.1599
  -4.750  -0.2713   0.01027   0.00407  -0.0584   0.8977   0.1734
  -4.500  -0.2442   0.01003   0.00385  -0.0580   0.8890   0.1885
  -4.250  -0.2181   0.00982   0.00368  -0.0575   0.8786   0.2047
  -4.000  -0.1909   0.00960   0.00349  -0.0572   0.8696   0.2223
